player_id,device_model,tutorial_started,tutorial_completed,first_match,city_build,retained_1d,retained_7d,retained_30d,levels_completed,sessions_played,days_retained,spend_amount
P00001,C22,1,1,0,0,1,0,0,9,16,19,0.0
P00002,L5002P,1,0,0,0,1,1,1,1,5,4,0.0
P00003,A632W,1,1,0,0,0,0,0,11,19,14,0.0
P00004,23129RAA4G,1,1,1,1,0,0,0,4,6,16,0.0
P00005,KL4,1,1,0,0,1,0,0,7,15,30,0.0
P00006,KL4,1,1,1,0,0,0,0,7,11,21,0.0
P00007,SM-A055F,1,0,0,0,0,0,0,3,6,23,0.0
P00008,RMX3830,1,1,1,0,1,0,0,13,21,18,0.0
P00009,KG5p,1,0,0,0,0,0,0,3,6,12,0.0
P00010,801LV,1,1,1,0,1,1,1,5,14,10,0.0
P00011,SM-A055F,1,1,1,0,1,0,0,12,18,9,0.0
P00012,23090RA98G,1,0,0,0,0,0,0,1,9,21,0.0
P00013,SM-X710,0,0,0,0,0,0,0,2,8,7,0.0
P00014,BG6m,1,1,0,0,1,0,0,5,8,15,0.0
P00015,SM-A042F,1,1,0,0,1,0,0,4,6,8,0.0
P00016,SM-A042F,1,1,1,0,1,1,0,10,14,1,0.0
P00017,X6528,1,0,0,0,1,1,1,4,12,8,0.0
P00018,SM-A225F,1,1,0,0,0,0,0,9,16,3,0.0
P00019,SM-A125F,1,1,0,0,1,1,1,8,14,1,0.0
P00020,A665L,1,1,1,0,1,0,0,4,9,4,0.0
P00021,GFY-LX2,1,1,1,0,0,0,0,9,16,30,0.0
P00022,BF6,1,1,1,0,0,0,0,6,8,3,0.0
P00023,X6516,0,0,0,0,1,1,0,1,6,16,0.0
P00024,X6525D,1,1,0,0,0,0,0,7,15,29,0.0
P00025,SM-T225N,1,1,1,0,0,0,0,13,21,13,0.0
P00026,CPH1823,1,1,0,0,1,0,0,9,15,24,0.0
P00027,KJ5,0,0,0,0,1,0,0,0,1,12,0.0
P00028,X650B,1,1,1,1,1,1,0,9,11,8,0.0
P00029,X657B,1,0,0,0,0,0,0,2,5,11,0.0
P00030,SM-A055F,1,0,0,0,0,0,0,1,5,4,0.0
P00031,RMX3690,1,0,0,0,1,0,0,1,8,21,0.0
P00032,X6525,0,0,0,0,1,1,1,0,6,3,0.0
P00033,SM-A065F,1,1,1,0,0,0,0,8,15,2,7.884479475521568
P00034,F-02L,1,1,0,0,0,0,0,4,7,23,0.0
P00035,VNS-L31,1,0,0,0,0,0,0,1,4,20,2.7172533134682273
P00036,SM-A145P,1,1,1,0,0,0,0,10,18,22,0.0
P00037,X6528,1,0,0,0,0,0,0,3,9,1,0.0
P00038,SM-A032F,1,1,1,1,0,0,0,11,14,6,0.0
P00039,SM-A356E,1,1,1,1,0,0,0,8,9,5,0.0
P00040,A667L,1,1,1,1,0,0,0,9,15,2,0.0
P00041,2409BRN2CA,0,0,0,0,0,0,0,1,9,17,0.0
P00042,A662LM,1,0,0,0,0,0,0,3,5,30,0.0
P00043,SM-A055F,1,1,1,1,1,1,0,11,17,25,5.705434584644369
P00044,KFMAWI,1,0,0,0,1,1,1,2,9,17,0.0
P00045,KI5k,1,1,0,0,0,0,0,8,12,1,2.00656097790351
P00046,SM-A336E,1,1,1,0,0,0,0,7,16,16,10.09214418804763
P00047,24048RN6CG,1,1,1,1,0,0,0,5,9,14,0.0
P00048,2409BRN2CG,1,0,0,0,1,0,0,2,9,19,0.0
P00049,A662L,1,1,1,1,1,0,0,8,15,28,0.0
P00050,SM-A042F,0,0,0,0,0,0,0,1,5,18,0.0
P00051,23026RN54G,1,1,1,0,1,0,0,4,9,17,0.0
P00052,D,1,0,0,0,0,0,0,4,13,18,0.0
P00053,V2201,0,0,0,0,0,0,0,3,9,4,0.0
P00054,G53,1,0,0,0,1,1,0,5,11,4,0.0
P00055,X683,1,0,0,0,0,0,0,0,4,25,0.0
P00056,A83t,1,1,1,1,1,0,0,11,19,2,0.0
P00057,SM-A032F,1,0,0,0,1,0,0,2,11,26,0.0
P00058,KJ5,1,1,1,1,0,0,0,5,6,8,0.0
P00059,SM-A055F,1,0,0,0,0,0,0,1,4,1,0.0
P00060,SM-A145F,1,1,0,0,0,0,0,6,13,9,0.0
P00061,KG5j,1,1,1,0,0,0,0,7,15,14,0.0
P00062,SM-A165F,1,0,0,0,1,0,0,3,8,14,0.0
P00063,SM-A145M,1,1,1,1,0,0,0,7,13,4,0.0
P00064,SM-A135F,1,0,0,0,0,0,0,0,6,10,0.0
P00065,SM-A165F,1,1,1,1,0,0,0,9,18,12,0.0
P00066,A512W,1,0,0,0,0,0,0,6,15,5,0.0
P00067,BF6,1,0,0,0,1,1,1,2,10,7,0.0
P00068,901KC,1,0,0,0,0,0,0,1,4,14,0.0
P00069,SM-A065F,1,1,0,0,0,0,0,7,15,11,0.0
P00070,SLA-L23,1,1,0,0,0,0,0,5,10,5,0.0
P00071,X663,0,0,0,0,0,0,0,2,9,22,0.0
P00072,KJ5,1,1,1,1,1,1,1,11,13,13,0.0
P00073,SM-A055F,1,0,0,0,0,0,0,3,7,30,0.0
P00074,CPH2217,1,1,1,1,1,0,0,5,9,9,0.0
P00075,SM-A556E,0,0,0,0,1,1,0,0,8,12,0.0
P00076,U965,1,1,1,0,0,0,0,14,21,2,0.0
P00077,SM-G955U,1,1,0,0,0,0,0,9,17,7,0.8670668777535262
P00078,SM-A065F,1,1,0,0,1,0,0,12,17,25,0.13201301853307879
P00079,SM-A135F,1,1,1,1,1,0,0,10,17,16,0.0
P00080,2409BRN2CA,0,0,0,0,1,0,0,0,4,2,0.0
P00081,CH9,1,1,0,0,0,0,0,8,14,17,0.0
P00082,LE6,1,1,0,0,0,0,0,10,17,10,0.0
P00083,X20,1,1,1,0,1,0,0,8,16,21,0.0
P00084,SM-A065F,1,1,1,1,0,0,0,11,12,13,0.0
P00085,24048RN6CG,1,1,1,1,1,0,0,9,18,30,0.0
P00086,SM-A145F,1,0,0,0,1,0,0,3,7,7,0.0
P00087,X653,1,1,1,1,0,0,0,14,19,17,0.0
P00088,SM-A137F,1,1,0,0,1,0,0,10,14,7,0.0
P00089,SM-S711B,1,1,0,0,1,1,0,7,8,11,0.0
P00090,CG6,1,0,0,0,1,0,0,0,5,22,0.0
P00091,2409BRN2CA,1,1,1,1,0,0,0,8,14,12,0.0
P00092,SM-A226B,1,1,1,0,1,0,0,10,12,14,0.0
P00093,SM-G975F,1,1,1,1,1,1,1,10,15,19,0.0
P00094,SM-A037F,1,1,1,0,0,0,0,10,19,18,0.0
P00095,SM-A536E,1,1,1,1,0,0,0,6,11,21,0.0
P00096,CPH2591,1,1,1,1,1,1,0,12,20,13,0.0
P00097,A671L,1,0,0,0,1,0,0,2,10,12,0.0
P00098,Neon Ray Ultra,1,0,0,0,0,0,0,3,4,23,0.0
P00099,SM-A055F,1,0,0,0,0,0,0,1,7,25,0.0
P00100,SM-A032F,1,0,0,0,1,1,0,6,13,3,0.0
P00101,SM-A055F,0,0,0,0,1,0,0,2,10,10,0.0
P00102,SM-A137F,1,0,0,0,0,0,0,0,1,2,0.0
P00103,24048RN6CG,0,0,0,0,0,0,0,2,8,3,0.0
P00104,SM-A035F,1,1,1,1,1,0,0,8,10,6,0.0
P00105,CPH2321,1,0,0,0,0,0,0,4,6,7,0.0
P00106,KL5,1,1,1,1,1,0,0,6,14,13,0.0
P00107,BF7,1,1,1,0,1,0,0,11,12,12,0.0
P00108,U964,1,0,0,0,0,0,0,0,4,1,0.0
P00109,SM-A155F,1,0,0,0,0,0,0,1,4,1,0.0
P00110,SM-A065F,1,0,0,0,0,0,0,1,8,20,6.409609188302889
P00111,A665L,1,1,1,1,0,0,0,12,20,2,0.0
P00112,X6525,1,1,1,1,0,0,0,5,13,4,0.0
P00113,RMX3201,1,0,0,0,0,0,0,2,7,26,0.0
P00114,SLA-L22,1,1,0,0,1,1,0,8,11,22,0.0
P00115,Moto E13,1,1,1,1,1,1,0,9,12,26,0.0
P00116,V2342,1,0,0,0,0,0,0,3,12,22,0.0
P00117,C2 2nd Edition,1,1,0,0,0,0,0,5,13,23,0.0
P00118,SM-A042F,1,0,0,0,0,0,0,3,7,5,0.0
P00119,BRP-NX1,1,0,0,0,1,1,0,3,8,19,0.0
P00120,KF6i,1,1,1,1,1,0,0,7,8,8,0.0
P00121,KFRAWI,1,1,0,0,0,0,0,6,8,24,0.0
P00122,L6502,1,1,1,1,0,0,0,9,17,10,0.0
P00123,24048RN6CG,1,0,0,0,0,0,0,3,12,20,0.0
P00124,2409BRN2CA,1,0,0,0,0,0,0,2,3,28,0.0
P00125,SM-A155F,1,0,0,0,0,0,0,2,5,26,0.0
P00126,Neon Ray Ultra,1,0,0,0,0,0,0,4,9,5,0.0
P00127,POT-LX1,1,0,0,0,0,0,0,3,7,12,6.930261764577423
P00128,1820,1,1,1,1,0,0,0,11,13,7,0.0
P00129,SM-A055F,1,1,0,0,0,0,0,5,8,11,0.0
P00130,STK-L21,1,0,0,0,0,0,0,6,7,2,0.0
P00131,V2332,0,0,0,0,1,0,0,2,6,9,0.0
P00132,BG6,1,1,1,0,1,0,0,7,14,13,0.0
P00133,2409BRN2CA,1,1,1,1,0,0,0,5,13,15,0.0
P00134,23106RN0DA,1,0,0,0,1,1,1,4,11,12,0.0
P00135,1904,1,0,0,0,0,0,0,6,11,1,0.0
P00136,SM-A145F,1,1,0,0,0,0,0,5,9,9,0.0
P00137,2409BRN2CG,1,0,0,0,0,0,0,1,6,12,0.0
P00138,2404ARN45A,1,1,0,0,0,0,0,7,12,26,0.0
P00139,X6525D,1,1,1,1,1,0,0,10,15,26,0.0
P00140,A015,1,1,1,1,0,0,0,6,7,3,0.0
P00141,SM-T377P,1,0,0,0,0,0,0,2,9,13,0.0
P00142,KI5k,1,0,0,0,0,0,0,4,8,8,0.0
P00143,X6532,0,0,0,0,0,0,0,3,8,19,0.0
P00144,X6516,1,0,0,0,1,0,0,0,1,26,0.0
P00145,A665L,1,1,1,0,0,0,0,7,16,12,0.0
P00146,SM-A055F,1,1,1,1,0,0,0,10,17,16,0.0
P00147,W6004,1,1,1,0,0,0,0,7,8,29,0.0
P00148,Z2453,1,1,1,1,0,0,0,8,10,14,6.221642731044636
P00149,SM-A055F,1,1,1,0,0,0,0,9,17,18,0.0
P00150,SM-A165F,1,1,1,0,1,1,1,5,13,10,0.0
P00151,CPH2711,1,1,1,0,0,0,0,7,9,15,0.0
P00152,KL5,1,1,1,0,0,0,0,13,20,22,0.0
P00153,KL4,1,1,0,0,1,1,1,4,5,22,0.0
P00154,X6531,1,1,1,1,0,0,0,9,15,13,0.0
P00155,S3,1,1,1,0,0,0,0,9,11,30,0.0
P00156,KL5,1,0,0,0,0,0,0,0,9,9,0.0
P00157,SM-A057G,1,1,1,1,1,1,1,9,15,6,0.0
P00158,SM-G975U,1,1,1,1,0,0,0,8,9,10,0.0
P00159,SM-A155F,0,0,0,0,0,0,0,1,5,11,0.0
P00160,SM-X200,1,1,0,0,1,1,1,7,13,25,0.0
P00161,SM-A127F,1,1,0,0,1,1,0,8,10,2,0.0
P00162,CPH2185,1,1,1,1,0,0,0,12,19,11,0.0
P00163,Moto E13,1,1,1,0,0,0,0,2,7,3,0.0
P00164,X6517,1,0,0,0,1,1,0,2,5,3,0.0
P00165,SM-A032F,0,0,0,0,1,0,0,2,10,24,0.0
P00166,X692,1,1,1,0,1,1,0,5,11,10,0.0
P00167,SM-A145F,1,1,0,0,0,0,0,6,15,2,0.0
P00168,SM-A042F,1,1,0,0,0,0,0,8,11,10,0.0
P00169,SM-A055F,1,1,0,0,0,0,0,12,18,15,0.0
P00170,X665,1,1,1,0,1,0,0,7,14,3,0.0
P00171,KG7h,1,1,0,0,0,0,0,7,8,8,0.0
P00172,SM-A055F,1,1,1,1,0,0,0,5,12,30,0.0
P00173,STK-L21,1,1,1,0,0,0,0,7,8,21,0.0
P00174,BG6,1,0,0,0,1,0,0,1,5,10,0.0
P00175,SM-A145R,1,1,1,1,0,0,0,12,15,16,0.0
P00176,X6525,1,1,1,0,0,0,0,11,19,7,0.0
P00177,2015,1,1,1,1,0,0,0,3,6,23,0.0
P00178,KG5j,1,0,0,0,0,0,0,3,11,24,0.0
P00179,SM-S901U,1,1,1,1,0,0,0,2,6,13,7.302804365020501
P00180,BF6,1,1,1,1,0,0,0,10,16,1,0.0
P00181,SM-X115,1,1,1,1,0,0,0,8,16,20,0.0
P00182,2409BRN2CA,1,1,0,0,0,0,0,5,13,12,0.0
P00183,F6,1,1,1,1,0,0,0,10,18,2,0.0
P00184,CF7k,1,1,1,1,0,0,0,7,10,2,0.0
P00185,KI5k,1,1,0,0,1,0,0,4,10,11,0.0
P00186,C21 Plus,1,0,0,0,0,0,0,0,8,16,0.0
P00187,MRD-LX1,1,0,0,0,0,0,0,3,11,11,0.0
P00188,SM-A045F,1,1,0,0,1,0,0,8,15,6,0.0
P00189,A663L,1,1,1,1,0,0,0,12,18,19,0.0
P00190,KL5,1,1,1,0,0,0,0,4,12,2,0.0
P00191,SM-A032F,1,1,0,0,1,0,0,7,16,4,0.0
P00192,Pixel 4a,1,1,1,0,0,0,0,6,15,18,0.0
P00193,SM-G398FN,1,0,0,0,0,0,0,3,7,19,0.0
P00194,Moto E13,1,1,1,1,0,0,0,8,14,11,0.0
P00195,23106RN0DA,1,1,1,1,1,1,0,8,12,2,0.0
P00196,X6532C,0,0,0,0,1,0,0,2,5,1,0.0
P00197,SM-A725F,1,1,1,0,0,0,0,9,16,9,6.498276365471451
P00198,P551W,1,1,1,1,0,0,0,3,12,7,0.0
P00199,SM-P619,1,0,0,0,0,0,0,1,8,15,0.0
P00200,SM-A326B,1,1,0,0,1,1,1,6,10,13,0.0
